Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
1.006,-64.3431,-2.6,-0.946,-0.002133,
1.008,-64.3407,-2.7,-1.887,0.000533,
1.01,-64.3401,-2.6,-1.56,0,
1.012,-64.3407,-2.6,-0.805,-0.002222,
1.014,-64.3407,-2.7,2.863,-0.000533,
1.016,-64.3462,-2.6,4.147,-0.000533,
1.018,-64.3395,-2.7,-1.988,0.002666,
1.02,-64.3413,-2.7,-0.941,-0.000533,
1.022,-64.3443,-2.6,5.108,-0.002133,
1.024,-64.3407,-2.6,2.725,0.0032,
1.026,-64.3413,-2.6,1.595,-0.000533,
1.028,-64.3431,-2.6,-1.994,-0.0016,
1.03,-64.3443,-2.7,-0.39,-0.002133,
1.032,-64.3401,-2.6,1.699,0.002666,
1.034,-64.3413,-2.6,-1.179,0.0016,
1.036,-64.3443,-2.7,-7.669,-0.003733,
1.038,-64.3449,-2.7,-3.439,-0.002666,
1.04,-64.3413,-2.7,-3.207,-0.002222,
1.042,-64.3468,-2.6,-1.946,-0.005422,
1.044,-64.3425,-2.7,-0.16,-0.000533,
